"","County","Candidate","Party","Votes","PercentageOfTotalVotes","TotalCountyVotes","Year"
"2199","Clallam","Hillary Clinton ","Democratic Party",17677,44.8007,39457,2016
"2200","Clallam","Donald J. Trump ","Republican Party",18794,47.6316,39457,2016
"2201","Clallam","Alyson Kennedy ","Socialist Workers Party",50,0.1267,39457,2016
"2202","Clallam","Gloria Estela La Riva ","Socialism &amp; Liberation Party",32,0.0811,39457,2016
"2203","Clallam","Jill Stein ","Green Party",810,2.0529,39457,2016
"2204","Clallam","Darrell L. Castle ","Constitution Party",256,0.6488,39457,2016
"2205","Clallam","Gary Johnson ","Libertarian Party",1838,4.6582,39457,2016
"2206","Clark","Hillary Clinton ","Democratic Party",92757,46.3414,200160,2016
"2207","Clark","Donald J. Trump ","Republican Party",92441,46.1836,200160,2016
"2208","Clark","Alyson Kennedy ","Socialist Workers Party",239,0.1194,200160,2016
"2209","Clark","Gloria Estela La Riva ","Socialism &amp; Liberation Party",158,0.0789,200160,2016
"2210","Clark","Jill Stein ","Green Party",3344,1.6707,200160,2016
"2211","Clark","Darrell L. Castle ","Constitution Party",1145,0.572,200160,2016
"2212","Clark","Gary Johnson ","Libertarian Party",10076,5.034,200160,2016
"2213","Columbia","Hillary Clinton ","Democratic Party",526,24.1063,2182,2016
"2214","Columbia","Donald J. Trump ","Republican Party",1497,68.6068,2182,2016
"2215","Columbia","Alyson Kennedy ","Socialist Workers Party",7,0.3208,2182,2016
"2216","Columbia","Gloria Estela La Riva ","Socialism &amp; Liberation Party",2,0.0917,2182,2016
"2217","Columbia","Jill Stein ","Green Party",26,1.1916,2182,2016
