county	year	prim_or_gen	registered	ballots_cast	vote_pres_dem	vote_pres_rep	vote_pres_other	vote_gov_rep	vote_gov_dem	vote_gov_other	vote_sen_dem	vote_sen_rep	vote_sen_other
Cache	1998	general	46671	19939							3962	15158	
Carbon	1998	general	10713	6128							3454	2329	
Daggett	1998	general	712	439							87	303	
Davis	1998	general	119073	51055							13325	35618	
Duchesne	1998	general	7045	3956							864	2841	
Emery	1998	general	6418	4013							1067	2722	
Garfield	1998	general	2710	1568							186	1276	
Grand	1998	general	5744	2822							988	1496	
Iron	1998	general	15186	8109							1290	6329	
Juab	1998	general	3577	2513							752	1469	
Kane	1998	general	3740	2045							267	1607	
Millard	1998	general	6745	3958							908	2769	
Morgan	1998	general	4098	2757							808	1754	
Piute	1998	general	1030	875							156	600	
Rich	1998	general	1158	821							145	633	
Salt Lake	1998	general	460782	210546							86732	114531	
San Juan	1998	general	7280	3612							1111	2005	
Sanpete	1998	general	11501	6067							1420	3997	
Sevier	1998	general	9156	4905							975	3618	
Summit	1998	general	16759	8005							3488	3987	
Tooele	1998	general	16537	8235							3012	4631	
Uintah	1998	general	12751	6314							1261	4651	
Utah	1998	general	190129	66505							13491	49296	
Wasatch	1998	general	8360	4125							1192	2666	
Washington	1998	general	36213	20473							3697	15475	
Wayne	1998	general	1673	1147							248	835	
Weber	1998	general	83993	42702							15454	24768	
Beaver	1996	general	2930	2278	687	1164		1760	392				
Box Elder	1996	general	22172	14128	3170	8373		11695	1762				
Cache	1996	general	45479	27713	6595	16832		22872	3614				
Carbon	1996	general	13727	8037	4172	2343		4215	3365				
Daggett	1996	general	579	433	131	237		292	108				
Davis	1996	general	101454	73345	19301	42768		57137	12810				
Duchesne	1996	general	6970	4452	892	2648		3545	655				
Emery	1996	general	6375	4200	1371	2033		3236	835				
Garfield	1996	general	2493	1905	283	1330		1582	215				
Grand	1996	general	5209	3440	1199	1384		2066	1094				
Iron	1996	general	15141	10135	1887	6550		8608	1105				
Juab	1996	general	3732	2664	928	1290		1967	573				
Kane	1996	general	3232	2453	304	1682		2054	274				
Millard	1996	general	6487	4513	945	2681		3652	599				
Morgan	1996	general	3793	2954	859	1659		2395	480				
Piute	1996	general	1006	729	176	475		609	95				
Rich	1996	general	1083	811	179	523		675	109				
Salt Lake	1996	general	434168	288128	117951	127951		189680	87170				
San Juan	1996	general	6700	4454	1675	2139		2492	1550				
Sanpete	1996	general	10407	6636	1568	3631		5088	1053				
Sevier	1996	general	8370	6554	1327	4031		5486	741				
Summit	1996	general	15818	9692	4177	3867		6096	3101				
Tooele	1996	general	15398	9964	3992	3881		6676	2664				
Uintah	1996	general	11373	7846	1714	4743		6133	1264				
Utah	1996	general	168131	102268	18291	69653		86852	11508				
Wasatch	1996	general	7579	4521	1374	2222		3370	915				
Washington	1996	general	37050	26543	4816	17637		21324	3512				
Wayne	1996	general	1596	1160	265	741		963	162				
Weber	1996	general	92000	59060	21404	27443		41173	14891				
