County ,Registered,Cast,TurnoutPct,AccessibleVotingUnitVotes,AbsenteeCast,AbsenteePct,Year,VBMOnly
Clark,194211,101149,0.5208,0,101143,0.9999,2005,1
Columbia,2529,1767,0.6987,0,1767,1.0000,2005,1
Cowlitz,46015,29152,0.6335,0,29150,0.9999,2005,1
Douglas,16528,10340,0.6256,0,10340,1.0000,2005,1
Ferry,4100,2599,0.6339,0,2599,1.0000,2005,1
Franklin,19916,11945,0.5998,0,11945,1.0000,2005,1
Garfield,1522,1129,0.7418,0,1122,0.9938,2005,1
Grant,32252,19648,0.6092,0,19608,0.9980,2005,1
Grays Harbor,34854,21705,0.6227,0,21705,1.0000,2005,1
Island,43885,26709,0.6086,0,21200,0.7937,2005,0
Jefferson,21299,14395,0.6759,0,14395,1.0000,2005,1
King,1017995,547325,0.5376,0,387071,0.7072,2005,0
Kitsap,134741,80977,0.6010,0,80977,1.0000,2005,1
Kittitas,19903,10446,0.5248,0,7190,0.6883,2005,0
Klickitat,11528,5967,0.5176,0,4682,0.7846,2005,0
Lewis,38878,24403,0.6277,0,24403,1.0000,2005,1
Lincoln,6700,4436,0.6621,0,3619,0.8158,2005,0
Mason,30960,19442,0.6280,0,19442,1.0000,2005,1
Okanogan,19737,12027,0.6094,0,12027,1.0000,2005,1
Pacific,12579,8532,0.6783,0,8520,0.9986,2005,1
Pend Oreille,7360,4740,0.6440,0,4740,1.0000,2005,1
Pierce,391611,187867,0.4797,0,159808,0.8506,2005,0
San Juan,10785,7322,0.6789,0,7322,1.0000,2005,1
Skagit,60770,38599,0.6352,0,38599,1.0000,2005,1
Skamania,6343,3001,0.4731,0,2965,0.9880,2005,1
Snohomish,354116,175937,0.4968,0,132615,0.7538,2005,0
Spokane,248598,134434,0.5408,0,99155,0.7376,2005,0
Stevens,24308,16179,0.6656,0,16179,1.0000,2005,1
Thurston,136918,76423,0.5582,0,76410,0.9998,2005,1
Wahkiakum,2631,1711,0.6503,0,1711,1.0000,2005,1
Walla Walla,28597,14774,0.5166,0,11782,0.7975,2005,0
Whatcom,102118,63716,0.6239,0,63716,1.0000,2005,1
Whitman,19700,10526,0.5343,0,5971,0.5673,2005,0
Yakima,93820,53148,0.5665,0,53140,0.9998,2005,1
Adams,5930,3714,0.6263,1,3710,0.9989,2006,1
Asotin,11375,7533,0.6622,18,7533,1.0000,2006,1
Benton,76910,50276,0.6537,8,50260,0.9997,2006,1
Chelan,35314,23518,0.6660,75,23358,0.9932,2006,1
Clallam,43483,30884,0.7103,5,30877,0.9998,2006,1
Clark,189269,116505,0.6156,3,116474,0.9997,2006,1
